j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
49,200,-0.018000000000000238,-0.5129999999999999,0.027000000000000135,-0.3779999999999999,0.027000000000000135,0.19260000000000005
49,400,-0.07199999999999962,0.13050000000000028,0.15300000000000002,0.15300000000000002,0.4005000000000001,0.18180000000000002
49,600,-0.10200000000000009,-0.04200000000000004,0.21299999999999986,-0.01200000000000001,-0.07200000000000006,0.08820000000000001
49,800,0.03599999999999959,0.04724999999999957,-0.1665000000000001,0.04724999999999957,0.03599999999999959,0.06659999999999969
49,1000,-0.08100000000000018,-0.09000000000000008,-0.0990000000000002,0.10799999999999965,0.07199999999999962,0.08999999999999994
50,10,-0.3600000000000001,-1.2600000000000002,0.54,-0.3600000000000001,-0.3600000000000001,0.5760000000000002
50,200,-0.15300000000000002,0.29700000000000015,0.07199999999999984,-0.46799999999999997,0.5670000000000002,0.3114
50,400,-0.3194999999999997,0.1080000000000001,-0.0045000000000001705,0.22050000000000036,0.08549999999999991,0.14760000000000004
50,600,-0.16200000000000014,0.017999999999999794,-0.10200000000000009,-0.027000000000000135,0.06299999999999972,0.07439999999999998
50,800,0.11474999999999991,0.14849999999999985,0.04724999999999957,0.45225000000000004,-0.03149999999999986,0.15884999999999985
50,1000,0.12599999999999967,-0.08100000000000018,-0.18900000000000028,-0.13500000000000023,-0.027000000000000135,0.1116000000000001
51,10,-0.3600000000000001,-0.3600000000000001,0.54,0.54,1.4399999999999995,0.6479999999999999
51,200,0.29700000000000015,-0.28800000000000026,0.11700000000000021,0.07199999999999984,-0.018000000000000238,0.15840000000000015
51,400,-0.13949999999999996,-0.1844999999999999,-0.20699999999999985,-0.027000000000000135,-0.07199999999999962,0.1259999999999999
51,600,-0.16200000000000014,0.06299999999999972,-0.027000000000000135,0.017999999999999794,0.16800000000000015,0.08759999999999998
51,800,0.06974999999999998,-0.11025000000000018,0.06974999999999998,-0.06525000000000003,-0.1665000000000001,0.09630000000000005
51,1000,-0.17100000000000026,-0.009000000000000119,-0.05400000000000049,-0.06300000000000017,-0.14400000000000035,0.08820000000000028
52,10,-1.2600000000000002,-1.2600000000000002,-0.3600000000000001,-0.3600000000000001,2.3400000000000003,1.1160000000000003
52,200,-0.19799999999999995,0.027000000000000135,0.2070000000000003,0.16199999999999992,0.11700000000000021,0.1422000000000001
52,400,-0.13949999999999996,-0.07199999999999962,0.08549999999999991,0.13050000000000028,-0.09450000000000003,0.10439999999999997
52,600,-0.04200000000000004,-0.31200000000000006,-0.027000000000000135,-0.057000000000000384,-0.027000000000000135,0.09300000000000015
52,800,-0.05400000000000027,0.013499999999999623,0.0022500000000000853,0.0022500000000000853,0.024749999999999828,0.01934999999999998
52,1000,-0.14400000000000035,-0.09000000000000008,0.08099999999999996,-0.08100000000000018,-0.05400000000000049,0.09000000000000022
