i,s,Sampling Method,Estimated Area,CI Upper Area,CI Lower Area
65,529,Latin Hypercube Sampling,1.60832,1.64569,1.57095
70,49,Latin Hypercube Sampling,1.59184,1.68249,1.50118
70,121,Latin Hypercube Sampling,1.61653,1.67485,1.55821
70,169,Latin Hypercube Sampling,1.60828,1.66676,1.5498
70,289,Latin Hypercube Sampling,1.55917,1.61063,1.50771
70,361,Latin Hypercube Sampling,1.54488,1.59148,1.49827
70,529,Latin Hypercube Sampling,1.60435,1.64098,1.56771
75,49,Latin Hypercube Sampling,1.57347,1.66651,1.48043
75,121,Latin Hypercube Sampling,1.61653,1.67485,1.55821
75,169,Latin Hypercube Sampling,1.60473,1.66329,1.54618
75,289,Latin Hypercube Sampling,1.55398,1.60557,1.50239
75,361,Latin Hypercube Sampling,1.53823,1.58475,1.4917
75,529,Latin Hypercube Sampling,1.60151,1.63866,1.56437
80,49,Latin Hypercube Sampling,1.57347,1.66651,1.48043
80,121,Latin Hypercube Sampling,1.61405,1.67292,1.55518
80,169,Latin Hypercube Sampling,1.60118,1.65885,1.54352
80,289,Latin Hypercube Sampling,1.55087,1.60255,1.49918
80,361,Latin Hypercube Sampling,1.5349,1.58291,1.48689
80,529,Latin Hypercube Sampling,1.59584,1.63245,1.55924
85,49,Latin Hypercube Sampling,1.57347,1.66651,1.48043
85,121,Latin Hypercube Sampling,1.61405,1.67292,1.55518
85,169,Latin Hypercube Sampling,1.59941,1.65814,1.54068
85,289,Latin Hypercube Sampling,1.54775,1.59941,1.49609
85,361,Latin Hypercube Sampling,1.53324,1.58138,1.4851
85,529,Latin Hypercube Sampling,1.59187,1.62795,1.55579
90,49,Latin Hypercube Sampling,1.57347,1.66651,1.48043
90,121,Latin Hypercube Sampling,1.60909,1.66766,1.55052
90,169,Latin Hypercube Sampling,1.59763,1.65695,1.53832
90,289,Latin Hypercube Sampling,1.54775,1.59941,1.49609
90,361,Latin Hypercube Sampling,1.53075,1.57844,1.48305
90,529,Latin Hypercube Sampling,1.5879,1.62496,1.55085
95,49,Latin Hypercube Sampling,1.57347,1.66651,1.48043
95,121,Latin Hypercube Sampling,1.60661,1.66614,1.54709
95,169,Latin Hypercube Sampling,1.59231,1.65261,1.532
95,289,Latin Hypercube Sampling,1.54671,1.59775,1.49567
95,361,Latin Hypercube Sampling,1.52742,1.57501,1.47983
95,529,Latin Hypercube Sampling,1.5862,1.62285,1.54955
100,49,Latin Hypercube Sampling,1.56735,1.65871,1.47598
100,121,Latin Hypercube Sampling,1.60165,1.66079,1.54252
100,169,Latin Hypercube Sampling,1.59053,1.65024,1.53082
100,289,Latin Hypercube Sampling,1.54152,1.59296,1.49008
100,361,Latin Hypercube Sampling,1.52493,1.57297,1.47689
100,529,Latin Hypercube Sampling,1.5845,1.62089,1.54811
5,49,Orthogonal Sampling,2.81633,2.90144,2.73121
5,121,Orthogonal Sampling,2.82645,2.86504,2.78785
5,169,Orthogonal Sampling,2.78166,2.81992,2.74339
5,289,Orthogonal Sampling,2.81834,2.84492,2.79176
5,361,Orthogonal Sampling,2.7964,2.81207,2.78073
5,529,Orthogonal Sampling,2.77996,2.79378,2.76614
10,49,Orthogonal Sampling,2.03265,2.11307,1.95224
10,121,Orthogonal Sampling,1.98595,2.031,1.9409
10,169,Orthogonal Sampling,2.0574,2.09523,2.01956
10,289,Orthogonal Sampling,2.03149,2.05661,2.00636
10,361,Orthogonal Sampling,2.01856,2.03879,1.99833
10,529,Orthogonal Sampling,2.02231,2.0388,2.00581
15,49,Orthogonal Sampling,1.84898,1.92735,1.77061
15,121,Orthogonal Sampling,1.8,1.84215,1.75785
15,169,Orthogonal Sampling,1.82485,1.85616,1.79355
15,289,Orthogonal Sampling,1.83114,1.85695,1.80534
15,361,Orthogonal Sampling,1.81911,1.83699,1.80123
15,529,Orthogonal Sampling,1.81531,1.83274,1.79788
20,49,Orthogonal Sampling,1.75102,1.83303,1.66901
20,121,Orthogonal Sampling,1.71074,1.74794,1.67355
20,169,Orthogonal Sampling,1.73432,1.76844,1.7002
20,289,Orthogonal Sampling,1.72422,1.7504,1.69804
20,361,Orthogonal Sampling,1.72853,1.74752,1.70954
20,529,Orthogonal Sampling,1.7206,1.73751,1.7037
25,49,Orthogonal Sampling,1.6898,1.76913,1.61046
25,121,Orthogonal Sampling,1.67107,1.71085,1.6313
25,169,Orthogonal Sampling,1.69527,1.72664,1.6639
25,289,Orthogonal Sampling,1.6827,1.70565,1.65975
25,361,Orthogonal Sampling,1.68615,1.70282,1.66948
25,529,Orthogonal Sampling,1.67127,1.69161,1.65092
30,49,Orthogonal Sampling,1.66531,1.74158,1.58903
30,121,Orthogonal Sampling,1.63884,1.67845,1.59924
30,169,Orthogonal Sampling,1.66686,1.69912,1.63461
30,289,Orthogonal Sampling,1.6474,1.67113,1.62368
30,361,Orthogonal Sampling,1.65789,1.67582,1.63997
30,529,Orthogonal Sampling,1.63554,1.65341,1.61767
35,49,Orthogonal Sampling,1.63469,1.70292,1.56646
35,121,Orthogonal Sampling,1.61405,1.65063,1.57747
35,169,Orthogonal Sampling,1.64734,1.6782,1.61647
35,289,Orthogonal Sampling,1.6308,1.65292,1.60867
35,361,Orthogonal Sampling,1.63213,1.64885,1.61542
35,529,Orthogonal Sampling,1.61172,1.62763,1.59581
40,49,Orthogonal Sampling,1.6102,1.67435,1.54606
40,121,Orthogonal Sampling,1.60909,1.64518,1.573
40,169,Orthogonal Sampling,1.63669,1.66885,1.60452
40,289,Orthogonal Sampling,1.61003,1.63292,1.58715
40,361,Orthogonal Sampling,1.61801,1.63465,1.60136
40,529,Orthogonal Sampling,1.59868,1.61573,1.58162
