j,s,run_1,run_2,run_3,run_4,run_5,average
36,200,1.5749999999999997,1.755,1.935,1.4849999999999999,1.7100000000000002,1.6920000000000002
36,400,1.6875,1.4175,1.7100000000000002,1.4625000000000001,1.6649999999999998,1.5885000000000002
36,600,1.785,1.725,1.65,1.65,1.4249999999999998,1.6469999999999998
36,800,1.49625,1.5862499999999997,1.65375,1.7100000000000002,1.6425,1.6177500000000002
36,1000,1.7009999999999998,1.809,1.6829999999999998,1.53,1.7009999999999998,1.6847999999999999
41,10,0.9000000000000001,2.6999999999999997,0.9000000000000001,0.9000000000000001,2.6999999999999997,1.6199999999999999
41,200,1.7100000000000002,1.53,1.8000000000000003,1.5749999999999997,1.17,1.557
41,400,1.215,1.7100000000000002,1.5975,1.5075000000000003,1.5975,1.5255
41,600,1.5150000000000001,1.77,1.6649999999999998,1.53,1.6649999999999998,1.629
41,800,1.5862499999999997,1.6875,1.67625,1.7100000000000002,1.62,1.656
41,1000,1.431,1.6289999999999998,1.602,1.5749999999999997,1.6560000000000001,1.5786000000000002
46,10,0.0,0.9000000000000001,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.08
46,200,1.98,1.53,1.62,1.6649999999999998,1.125,1.584
46,400,1.53,2.0025,1.5524999999999998,1.62,1.3049999999999997,1.6019999999999996
46,600,1.725,1.815,1.3049999999999997,1.8900000000000001,1.455,1.638
46,800,1.7887500000000003,1.7662499999999999,1.6425,1.62,1.6425,1.6920000000000002
46,1000,1.5390000000000001,1.5929999999999997,1.5749999999999997,1.5929999999999997,1.602,1.5803999999999998
51,10,1.8000000000000003,0.0,0.9000000000000001,1.8000000000000003,3.6000000000000005,1.6200000000000003
51,200,1.17,1.5749999999999997,1.4849999999999999,1.7100000000000002,1.7100000000000002,1.5299999999999998
51,400,1.6425,1.6649999999999998,1.8000000000000003,1.2600000000000002,1.7100000000000002,1.6155000000000002
51,600,1.47,1.47,1.5150000000000001,1.6649999999999998,1.7100000000000002,1.566
51,800,1.62,1.755,1.4849999999999999,1.7662499999999999,1.56375,1.638
51,1000,1.476,1.7460000000000002,1.7640000000000002,1.6380000000000001,1.7369999999999999,1.6722000000000001
56,10,1.8000000000000003,2.6999999999999997,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.8000000000000003
56,200,1.845,1.5749999999999997,1.98,1.44,1.5749999999999997,1.6829999999999998
56,400,1.6649999999999998,1.3499999999999999,1.8000000000000003,1.44,1.8000000000000003,1.611
56,600,1.545,1.3350000000000002,1.5,1.38,1.815,1.515
56,800,1.31625,1.38375,1.72125,1.4849999999999999,1.5524999999999998,1.4917500000000001
56,1000,1.7460000000000002,1.5749999999999997,1.3409999999999997,1.584,1.6380000000000001,1.5767999999999998
61,10,0.9000000000000001,0.0,0.9000000000000001,0.0,3.6000000000000005,1.08
61,200,1.6649999999999998,1.44,2.205,1.8000000000000003,1.845,1.791
61,400,1.53,1.6425,1.4625000000000001,1.4625000000000001,1.8674999999999997,1.5930000000000002
61,600,1.59,1.545,1.785,1.725,1.62,1.653
61,800,1.7100000000000002,1.7100000000000002,1.56375,1.4175,1.4849999999999999,1.57725
61,1000,1.6469999999999998,1.5390000000000001,1.566,1.4849999999999999,1.6380000000000001,1.575
66,10,0.9000000000000001,0.9000000000000001,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.6200000000000003
66,200,1.395,1.2600000000000002,1.8900000000000001,1.98,1.3499999999999999,1.575
66,400,1.8225000000000002,1.7325,1.8225000000000002,1.62,1.3499999999999999,1.6695
66,600,2.055,1.4249999999999998,1.605,1.815,1.6949999999999998,1.719
