j,s,run_1,run_2,run_3,run_4,run_5,average
6,200,2.43,2.5200000000000005,2.43,3.0150000000000006,2.835,2.646
6,400,2.34,2.6099999999999994,2.2725,2.5875,2.6099999999999994,2.4839999999999995
6,600,2.505,2.55,2.58,2.6700000000000004,2.6700000000000004,2.5949999999999998
6,800,2.55375,2.50875,2.62125,2.43,2.5200000000000005,2.52675
6,1000,2.5020000000000002,2.5559999999999996,2.5469999999999997,2.718,2.349,2.5344
7,10,2.6999999999999997,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.8000000000000003
7,200,2.295,2.43,2.205,2.6550000000000002,1.935,2.3040000000000003
7,400,2.2275,2.3850000000000002,2.3850000000000002,2.2275,1.98,2.2410000000000005
7,600,2.5200000000000005,2.2800000000000002,2.415,2.2800000000000002,2.6550000000000002,2.4300000000000006
7,800,2.21625,2.35125,2.16,2.21625,2.01375,2.1915
7,1000,2.322,2.286,2.4210000000000003,2.187,2.466,2.3364000000000003
8,10,2.6999999999999997,1.8000000000000003,1.8000000000000003,0.9000000000000001,0.9000000000000001,1.6200000000000003
8,200,1.98,1.845,2.295,2.6999999999999997,2.1149999999999998,2.1870000000000003
8,400,2.16,2.1374999999999997,2.16,2.1374999999999997,2.4525000000000006,2.2095
8,600,2.04,2.19,2.16,2.5200000000000005,2.16,2.214
8,800,2.205,2.0700000000000003,2.34,2.1487499999999997,2.0250000000000004,2.15775
8,1000,1.9980000000000002,2.5200000000000005,2.205,1.9980000000000002,1.9980000000000002,2.1438
9,10,1.8000000000000003,2.6999999999999997,3.6000000000000005,1.8000000000000003,5.3999999999999995,3.06
9,200,1.8000000000000003,1.98,1.7100000000000002,1.755,2.25,1.8990000000000002
9,400,2.3625000000000003,1.8674999999999997,2.1149999999999998,2.34,2.205,2.178
9,600,2.0999999999999996,2.475,2.295,2.13,2.2649999999999997,2.253
9,800,1.7775,1.90125,2.1825,2.1825,2.0925000000000002,2.02725
9,1000,2.079,2.0700000000000003,1.971,2.133,2.0700000000000003,2.0646
10,10,0.9000000000000001,1.8000000000000003,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.4400000000000002
10,200,2.25,2.0700000000000003,2.1149999999999998,1.935,1.7100000000000002,2.0160000000000005
10,400,1.935,2.1374999999999997,2.1149999999999998,1.8900000000000001,1.9575,2.007
10,600,1.9500000000000002,2.2199999999999998,1.845,1.755,2.055,1.9649999999999999
10,800,2.1487499999999997,2.23875,1.62,2.1037500000000002,2.0812500000000003,2.0385
10,1000,2.0970000000000004,1.944,1.8359999999999999,1.953,2.142,1.9944000000000002
11,10,1.8000000000000003,1.8000000000000003,1.8000000000000003,3.6000000000000005,0.9000000000000001,1.98
11,200,1.5749999999999997,1.845,1.44,2.16,1.6649999999999998,1.7369999999999997
11,400,2.0475,2.2725,1.7325,1.8674999999999997,2.1374999999999997,2.0115
11,600,1.905,1.83,2.0999999999999996,1.8900000000000001,2.0700000000000003,1.959
11,800,2.0025,1.9575,2.0250000000000004,1.8674999999999997,2.2275,2.016
11,1000,2.0250000000000004,1.8719999999999999,1.863,1.8000000000000003,1.971,1.9062000000000001
12,10,0.0,1.8000000000000003,2.6999999999999997,2.6999999999999997,2.6999999999999997,1.9799999999999998
