j,s,run_1,run_2,run_3,run_4,run_5,average_subtraction,reference_value
5,200,0.7920000000000003,1.1069999999999998,1.0169999999999995,1.7369999999999997,1.1520000000000001,1.1609999999999998,1.593
5,400,1.4130000000000003,1.4805000000000001,0.9855,1.5704999999999996,1.6605000000000003,1.4220000000000002,1.5795
5,600,1.053,1.3529999999999998,1.488,1.263,1.4129999999999998,1.314,1.6320000000000001
5,800,1.17225,1.21725,1.0372499999999998,1.21725,1.2622500000000003,1.18125,1.5390000000000001
5,1000,1.1429999999999996,0.873,1.1789999999999996,1.188,1.4759999999999993,1.1717999999999997,1.6290000000000002
6,10,1.4399999999999995,0.3600000000000001,1.4399999999999995,1.4399999999999995,1.4399999999999995,1.2239999999999998,1.2600000000000002
6,200,0.8370000000000002,0.9270000000000005,0.8370000000000002,1.4220000000000006,1.242,1.0530000000000004,1.593
6,400,0.7605,1.0304999999999995,0.6930000000000001,1.008,1.0304999999999995,0.9044999999999999,1.5795
6,600,0.8729999999999998,0.9179999999999997,0.948,1.0380000000000003,1.0380000000000003,0.9629999999999999,1.6320000000000001
6,800,1.0147499999999998,0.9697499999999999,1.0822499999999997,0.891,0.9810000000000003,0.9877499999999999,1.5390000000000001
6,1000,0.873,0.9269999999999994,0.9179999999999995,1.0889999999999997,0.72,0.9053999999999996,1.6290000000000002
7,10,1.4399999999999995,0.54,0.3600000000000001,0.54,0.54,0.6839999999999999,1.2600000000000002
7,200,0.702,0.8370000000000002,0.6120000000000001,1.0620000000000003,0.3420000000000001,0.7110000000000001,1.593
7,400,0.6480000000000001,0.8055000000000003,0.8055000000000003,0.6480000000000001,0.4005000000000001,0.6615000000000002,1.5795
7,600,0.8880000000000003,0.6480000000000001,0.7829999999999999,0.6480000000000001,1.0230000000000001,0.7980000000000002,1.6320000000000001
7,800,0.6772499999999999,0.8122499999999997,0.621,0.6772499999999999,0.4747499999999998,0.6524999999999999,1.5390000000000001
7,1000,0.6929999999999998,0.6569999999999998,0.792,0.5579999999999996,0.837,0.7073999999999998,1.6290000000000002
8,10,1.4399999999999995,0.54,0.54,0.3600000000000001,0.3600000000000001,0.648,1.2600000000000002
8,200,0.387,0.252,0.702,1.1069999999999998,0.5219999999999998,0.5939999999999999,1.593
8,400,0.5805000000000002,0.5579999999999998,0.5805000000000002,0.5579999999999998,0.8730000000000007,0.6300000000000001,1.5795
8,600,0.4079999999999999,0.5579999999999998,0.528,0.8880000000000003,0.528,0.5820000000000001,1.6320000000000001
